address,bath,bedrooms,borough,extra,nearest_subway,neighborhood,rent,sqft,median_income,percent_high_earner,zipcode,Cats_Allowed,Elevator,No_Fee,Dogs_Allowed,Laundry_In_Building,Doorman,Gym,Dishwasher,Hardwood_Floors,Renovated,Common_Outdoor_Space,High_Ceilings,Laundry_In_Unit,Granite_Kitchen,Marble_Bath,Parking,Pre_War,Valet,Eat_In_Kitchen,Walk_In_Closet,Deck,Lounge,Concierge,Storage_Facility,High_Speed_Internet,Studio,Brooklyn,Manhattan,Queens
West 42rd Street,2.0,3,Manhattan,"['No Fee', 'Elevator', 'Laundry In Building', 'Dogs Allowed', 'Reduced Fee', 'Cats Allowed', 'Doorman', 'Common Outdoor Space', 'Laundry In Unit', 'Gym']",0.23,Hell's Kitchen,4615,0,93707.0,19.8,10036.0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
West 42rd Street,2.0,3,Manhattan,"['Laundry In Building', 'One Month Free', 'Dining Room', 'High Ceilings', 'Laundry In Unit', 'Storage Facility', 'Eat In Kitchen', 'Cats Allowed', 'Doorman', 'Outdoor Space', 'City View', 'Valet', 'Dogs Allowed', 'Dishwasher', 'Private Deck', 'Common Outdoor Space', 'Convertible', 'Terrace', 'No Fee', 'Elevator', 'Bicycle Room', 'Stainless Steel Appliances', 'Reduced Fee', 'Microwave', 'High Speed Internet', 'Renovated', 'Gym', 'Parking']",0.23,Hell's Kitchen,4615,0,93707.0,19.8,10036.0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0
West 42rd Street,2.0,3,Manhattan,"['Laundry In Building', 'One Month Free', 'Dining Room', 'High Ceilings', 'Laundry In Unit', 'Storage Facility', 'Eat In Kitchen', 'Cats Allowed', 'Doorman', 'Outdoor Space', 'City View', 'Valet', 'Private Deck', 'Dishwasher', 'Dogs Allowed', 'Common Outdoor Space', 'Convertible', 'Terrace', 'No Fee', 'Elevator', 'Bicycle Room', 'Stainless Steel Appliances', 'Reduced Fee', 'Microwave', 'High Speed Internet', 'Renovated', 'Gym', 'Parking']",0.23,Hell's Kitchen,4615,0,93707.0,19.8,10036.0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0
W 37th St,1.5,3,Manhattan,"['Lounge', 'High Ceilings', 'Hardwood Floors', 'Business Center', 'Pre War', 'Granite Kitchen', 'Doorman', 'Valet', 'Dishwasher', 'Deck', 'Live In Super', 'Common Outdoor Space', 'Convertible', 'Concierge', 'No Fee', 'Elevator', 'Bicycle Room', 'Laundry In Building\n \n\nHigh Speed Internet', 'Receiving Room', 'Marble Bath', 'Renovated', 'Walk In Closet', 'Gym', 'Parking']",0.24,Hell's Kitchen,4100,0,93707.0,19.8,10036.0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0
W 43rd St,2.0,3,Manhattan,"['Laundry In Building', 'Dining Room', 'High Ceilings', 'Hardwood Floors', 'Swimming Pool', 'Granite Kitchen', 'Balcony', 'Eat In Kitchen', 'Cats Allowed', 'Doorman', 'Outdoor Space', 'Garden/Patio', 'Private Deck', 'Dishwasher', 'Dogs Allowed', 'Terrace', 'No Fee', 'Elevator', 'Marble Bath', 'Renovated', 'Walk In Closet', 'Parking']",0.43,Hell's Kitchen,5600,0,93707.0,19.8,10036.0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0
West 42rd Street,2.0,3,Manhattan,"['Laundry In Building', 'One Month Free', 'Dining Room', 'High Ceilings', 'Laundry In Unit', 'Storage Facility', 'Eat In Kitchen', 'Cats Allowed', 'Doorman', 'Outdoor Space', 'City View', 'Valet', 'Dogs Allowed', 'Dishwasher', 'Private Deck', 'Common Outdoor Space', 'Convertible', 'Terrace', 'No Fee', 'Elevator', 'Bicycle Room', 'Stainless Steel Appliances', 'Reduced Fee', 'Microwave', 'High Speed Internet', 'Renovated', 'Gym', 'Parking']",0.23,Hell's Kitchen,4615,0,93707.0,19.8,10036.0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0
W 37th St,1.5,3,Manhattan,"['Lounge', 'High Ceilings', 'Hardwood Floors', 'Business Center', 'Pre War', 'Granite Kitchen', 'Doorman', 'Valet', 'Dishwasher', 'Deck', 'Live In Super', 'Common Outdoor Space', 'Convertible', 'Concierge', 'No Fee', 'Elevator', 'Bicycle Room', 'Laundry In Building\n \n\nHigh Speed Internet', 'Receiving Room', 'Marble Bath', 'Renovated', 'Walk In Closet', 'Gym', 'Parking']",0.24,Hell's Kitchen,4100,0,93707.0,19.8,10036.0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0
W 43rd St,2.0,3,Manhattan,"['Laundry In Building', 'Dining Room', 'High Ceilings', 'Hardwood Floors', 'Swimming Pool', 'Granite Kitchen', 'Balcony', 'Eat In Kitchen', 'Cats Allowed', 'Doorman', 'Outdoor Space', 'Garden/Patio', 'Private Deck', 'Dishwasher', 'Dogs Allowed', 'Terrace', 'No Fee', 'Elevator', 'Marble Bath', 'Renovated', 'Walk In Closet', 'Parking']",0.43,Hell's Kitchen,5600,0,93707.0,19.8,10036.0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0
West 48th Street,1.0,1,Manhattan,"['No Fee', 'Elevator', 'Laundry In Building', 'Landscaped Courtyard', 'Storage Facility', 'Central Ac', 'Non Smoking Building', 'Live In Super', 'Cats Allowed', 'Doorman', 'Common Outdoor Space', 'Bike Storage', 'Dogs Allowed\n \n\nOutdoor Areas', 'Heat/Hot Water Included', 'Gym']",0.44,Hell's Kitchen,2677,0,93707.0,19.8,10036.0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
330 West 45th Street,1.0,2,Manhattan,"['Laundry In Building', 'No Fee', 'Elevator', 'Dining Room', 'Dogs Allowed', 'High Ceilings', 'Eat In Kitchen', 'Hardwood Floors', 'Reduced Fee', 'Cats Allowed', 'Doorman', 'Marble Bath', 'Pre War', 'Granite Kitchen', 'Renovated']",0.16,Hell's Kitchen,3275,0,93707.0,19.8,10036.0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
330 West 45th Street,1.0,2,Manhattan,"['Laundry In Building', 'No Fee', 'Elevator', 'Dining Room', 'Dogs Allowed', 'High Ceilings', 'Eat In Kitchen', 'Hardwood Floors', 'Reduced Fee', 'Cats Allowed', 'Doorman', 'Marble Bath', 'Pre War', 'Granite Kitchen', 'Renovated']",0.16,Hell's Kitchen,3275,0,93707.0,19.8,10036.0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
10th Ave.,2.0,4,Manhattan,"['Dining Room', 'Lounge', 'High Ceilings', 'Hardwood Floors', 'Business Center', 'Granite Kitchen', 'Balcony', 'Eat In Kitchen', 'Doorman', 'Outdoor Space', 'Dishwasher', 'Deck', 'No Fee', 'Elevator', 'Bicycle Room', 'Receiving Room', 'High Speed Internet', 'Marble Bath', 'Renovated', 'Walk In Closet', 'Gym', 'Parking']",0.35,Hell's Kitchen,6000,0,93707.0,19.8,10036.0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0
330 West 45th Street,1.0,2,Manhattan,"['Laundry In Building', 'No Fee', 'Elevator', 'Dining Room', 'Dogs Allowed', 'High Ceilings', 'Eat In Kitchen', 'Hardwood Floors', 'Reduced Fee', 'Cats Allowed', 'Doorman', 'Marble Bath', 'Pre War', 'Granite Kitchen', 'Renovated']",0.16,Hell's Kitchen,3275,0,93707.0,19.8,10036.0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
