address,bath,bedrooms,borough,extra,nearest_subway,neighborhood,rent,sqft,median_income,percent_high_earner,zipcode
W 43rd St,2.0,3,Manhattan,"['Terrace', 'Dining Room', 'Cats Allowed', 'Garden/patio', 'Walk In Closet', 'Outdoor Space', 'Dishwasher', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Elevator', 'Private Deck', 'Balcony', 'Garage', 'Swimming Pool', 'No Fee', 'Floorplans Available', 'Eat In Kitchen', 'Renovated', 'Light', 'Hardwood Floors']",0.43,Hell's Kitchen,5600,0,93707.0,19.8,10036.0
West 42rd Street,2.0,3Flex 4 ,Manhattan,"['Terrace', 'Dining Room', 'Cats Allowed', 'Convertible', 'Outdoor Space', 'Dishwasher', 'Light', 'Common Outdoor Space', 'Laundry In Building', 'Stainless Steel Appliances', 'High Ceilings', 'One Month Free', 'Dogs Allowed', 'Doorman', 'Storage Facility', 'Elevator', 'Private Deck', 'Microwave', 'Bicycle Room', 'Garage', 'Reduced Fee', 'Fitness Center', 'Laundry In Unit', 'No Fee', 'Floorplans Available', 'Laundry in Unit', 'Valet', 'Eat In Kitchen', 'Renovated', 'High Speed Internet', 'City View']",0.23,Hell's Kitchen,4615,0,93707.0,19.8,10036.0
W 37th St,1.5,3Flex 4 ,Manhattan,"['Convertible', 'Walk In Closet', 'Dishwasher', 'Common Outdoor Space', 'Granite Kitchen', 'High Ceilings', 'Doorman', 'Marble Bath', 'Elevator', 'Live In Super', 'Lounge', 'Subway', 'Bicycle Room', 'Garage', 'Fitness Center', 'Pre-war', 'Concierge', 'No Fee', 'Deck', 'Receiving Room', 'Business Center', 'Pre-War', 'Laundry In Building\n \n\nHigh Speed Internet', 'Valet', 'Renovated', 'Light', 'Hardwood Floors']",0.24,Hell's Kitchen,4100,0,93707.0,19.8,10036.0
W 43rd St,2.0,3,Manhattan,"['Terrace', 'Dining Room', 'Cats Allowed', 'Garden/patio', 'Walk In Closet', 'Outdoor Space', 'Dishwasher', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Elevator', 'Private Deck', 'Balcony', 'Garage', 'Swimming Pool', 'No Fee', 'Floorplans Available', 'Eat In Kitchen', 'Renovated', 'Light', 'Hardwood Floors']",0.43,Hell's Kitchen,5600,0,93707.0,19.8,10036.0
West 48th Street,1.0,Studio,Manhattan,"['Storage Facility', 'Cats Allowed', 'Live-In Super', 'Central AC', 'Bike Storage', 'Heat/Hot Water Included', 'Fitness Center', 'Doorman', 'Non-Smoking Building', 'Landscaped Courtyard', 'Dogs Allowed\n \n\nOutdoor Areas', 'No Fee', 'Floorplans Available', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.44,Hell's Kitchen,2677,0,93707.0,19.8,10036.0
330 West 45th Street,1.0,2,Manhattan,"['Dining Room', 'Cats Allowed', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Elevator', 'Reduced Fee', 'Pre-war', 'No Fee', 'Floorplans Available', 'Pre-War', 'Laundry in Building', 'Eat In Kitchen', 'Renovated', 'Light', 'Hardwood Floors', 'Exclusive']",0.16,Hell's Kitchen,3275,0,93707.0,19.8,10036.0
330 West 45th Street,1.0,2,Manhattan,"['Dining Room', 'Cats Allowed', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Elevator', 'Reduced Fee', 'Pre-war', 'No Fee', 'Floorplans Available', 'Pre-War', 'Laundry in Building', 'Eat In Kitchen', 'Renovated', 'Light', 'Hardwood Floors', 'Exclusive']",0.16,Hell's Kitchen,3275,0,93707.0,19.8,10036.0
10th Ave.,2.0,4,Manhattan,"['Dining Room', 'Walk In Closet', 'Outdoor Space', 'Dishwasher', 'High Speed Internet', 'Granite Kitchen', 'High Ceilings', 'Doorman', 'Marble Bath', 'Lounge', 'Elevator', 'Balcony', 'Bicycle Room', 'Garage', 'Fitness Center', 'No Fee', 'Deck', 'Receiving Room', 'Business Center', 'Eat In Kitchen', 'Renovated', 'Light', 'Hardwood Floors']",0.35,Hell's Kitchen,6000,0,93707.0,19.8,10036.0
330 West 45th Street,1.0,2,Manhattan,"['Dining Room', 'Cats Allowed', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Elevator', 'Reduced Fee', 'Pre-war', 'No Fee', 'Floorplans Available', 'Pre-War', 'Laundry in Building', 'Eat In Kitchen', 'Renovated', 'Light', 'Hardwood Floors', 'Exclusive']",0.16,Hell's Kitchen,3275,0,93707.0,19.8,10036.0
561 10 Ave.,2.0,1,Manhattan,"['Cats Allowed', 'Dishwasher', 'Common Outdoor Space', 'Laundry In Building', 'Granite Kitchen', 'Dogs Allowed', 'Doorman', 'Lounge', 'Elevator', 'Subway', 'River View', 'Garage', 'Fitness Center', 'Concierge', 'No Fee', 'Deck', 'Valet', 'Renovated', 'Light', 'Hardwood Floors', 'City View']",0.37,Hell's Kitchen,4100,0,93707.0,19.8,10036.0
W 53rd St.,1.0,3,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Granite Kitchen', 'Dogs Allowed', 'Laundry In Unit', 'Open View', 'Outdoor Space', 'Dishwasher', 'Marble Bath', 'No Fee', 'Private Deck', 'Renovated', 'Hardwood Floors']",0.31,Hell's Kitchen,4611,0,93707.0,19.8,10036.0
561 10 Ave.,2.0,1,Manhattan,"['Cats Allowed', 'Dishwasher', 'Common Outdoor Space', 'Laundry In Building', 'Granite Kitchen', 'Dogs Allowed', 'Doorman', 'Lounge', 'Elevator', 'Subway', 'River View', 'Garage', 'Fitness Center', 'Concierge', 'No Fee', 'Deck', 'Valet', 'Renovated', 'Light', 'Hardwood Floors', 'City View']",0.37,Hell's Kitchen,4100,0,93707.0,19.8,10036.0
W 53rd St.,1.0,3,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Granite Kitchen', 'Dogs Allowed', 'Laundry In Unit', 'Open View', 'Outdoor Space', 'Dishwasher', 'Marble Bath', 'No Fee', 'Private Deck', 'Renovated', 'Hardwood Floors']",0.31,Hell's Kitchen,4611,0,93707.0,19.8,10036.0
W 53rd St.,1.0,3,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Granite Kitchen', 'Dogs Allowed', 'Laundry In Unit', 'Open View', 'Outdoor Space', 'Dishwasher', 'Marble Bath', 'No Fee', 'Private Deck', 'Renovated', 'Hardwood Floors']",0.31,Hell's Kitchen,4611,0,93707.0,19.8,10036.0
West 53rd Street,1.0,1,Manhattan,"['Common Outdoor Space', 'Live In Super', 'Valet', 'Fitness Center', 'Doorman', 'Concierge', 'Storage', 'Elevator', 'Deck', 'High Speed Internet', 'Laundry In Building', 'Receiving Room', 'Subway']",0.25,Hell's Kitchen,3800,0,93707.0,19.8,10036.0
West 53rd Street,1.0,1,Manhattan,"['Common Outdoor Space', 'Live In Super', 'Valet', 'Fitness Center', 'Doorman', 'Concierge', 'Storage', 'Elevator', 'Deck', 'High Speed Internet', 'Laundry In Building', 'Receiving Room', 'Subway']",0.25,Hell's Kitchen,3800,0,93707.0,19.8,10036.0
W 53rd St.,1.0,3,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Granite Kitchen', 'Dogs Allowed', 'Laundry In Unit', 'Open View', 'Outdoor Space', 'Dishwasher', 'Marble Bath', 'No Fee', 'Private Deck', 'Renovated', 'Hardwood Floors']",0.31,Hell's Kitchen,4611,0,93707.0,19.8,10036.0
West 57th Street,1.0,Studio,Manhattan,"['Pre-War', 'Dining Room', 'Cats Allowed', 'High Ceilings', 'Dogs Allowed', 'Pre-war', 'Doorman', 'Dishwasher', 'Marble Bath', 'No Fee', 'Elevator', 'Renovated', 'Light', 'Hardwood Floors', 'Laundry In Building']",0.27,Hell's Kitchen,2500,0,93707.0,19.8,10036.0
West 57th Street,1.0,Studio,Manhattan,"['On-site Laundry', 'New Construction', 'Garage', 'Stainless Steel Appliances', 'Lounge Room', 'Fitness Center', 'Doorman', 'Pets - Dogs Ok', 'View', 'Common Terrace', 'No Fee', 'Elevator', 'Pets - Cats Ok', 'Bike Room']",0.56,Hell's Kitchen,3044,0,93707.0,19.8,10036.0
West 38th Street,1.0,Studio,Manhattan,"['Bicycle Room', 'Laundry in Unit', 'Renovated', 'Granite Kitchen', 'High Ceilings', 'Fitness Center', 'Laundry In Unit', 'Eat In Kitchen', 'Doorman', 'Storage', 'Dishwasher', 'Marble Bath', 'No Fee', 'Elevator', 'Deck', 'Light', 'Hardwood Floors', 'Microwave']",0.24,Hell's Kitchen,3400,0,93707.0,19.8,10036.0
546 West 50th Street,1.0,1,Manhattan,"['Pre-War', 'Exclusive', 'Pre-war']",0.46,Hell's Kitchen,2050,0,93707.0,19.8,10036.0
West 53rd Street,1.0,2,Manhattan,"['Dining Room', 'Featured', 'Granite Kitchen', 'High Ceilings', 'Walk In Closet', 'Fitness Center', 'Furnished', 'Eat In Kitchen', 'Doorman', 'Dishwasher', 'Marble Bath', 'No Fee', 'Elevator', 'Renovated', 'Light', 'Hardwood Floors', 'Laundry In Building']",0.24,Hell's Kitchen,3184,0,93707.0,19.8,10036.0
West 54th Street,1.0,1,Manhattan,"['New Construction', 'Cats Allowed', 'Dishwasher', 'Light', 'Common Outdoor Space', 'Diplomats Ok', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Elevator', 'Lounge', 'Subway', 'Garage', 'Swimming Pool', 'Fitness Center', 'Laundry In Unit', 'Open View', 'Concierge', 'No Fee', 'Deck', 'Receiving Room', 'Business Center', 'Green Building', 'Laundry in Unit', 'Valet', 'Renovated', 'High Speed Internet', 'Hardwood Floors', 'City View']",0.46,Hell's Kitchen,3100,0,93707.0,19.8,10036.0
West 57th St,2.0,3,Manhattan,"['New Construction', 'Walk In Closet', 'Dishwasher', 'High Speed Internet', 'Common Outdoor Space', 'Laundry In Building', 'Doorman', 'Storage', 'Marble Bath', 'Elevator', 'Live In Super', 'Lounge', 'Bicycle Room', 'Garage', ' Granite Kitchen', 'Fitness Center', 'Laundry In Unit', 'Concierge', 'No Fee', 'Deck', 'Receiving Room', 'Business Center', 'Laundry in Unit', 'Valet', 'Eat In Kitchen', 'Renovated', 'Light']",0.57,Hell's Kitchen,4990,0,93707.0,19.8,10036.0
West 42nd Street,1.0,StudioFlex 1 ,Manhattan,"['New Construction', 'Cats Allowed', 'Convertible', 'Outdoor Space', 'Dishwasher', 'Common Outdoor Space', 'Laundry In Building', 'Granite Kitchen', 'Dogs Allowed', 'Doorman', 'Storage', 'Marble Bath', 'Elevator', 'Lounge', 'Balcony', 'Subway', 'Bicycle Room', 'Garage', 'Swimming Pool', 'Fitness Center', 'Laundry In Unit', 'Concierge', 'No Fee', 'Floorplans Available', 'Deck', 'Laundry in Unit', 'Valet', 'Renovated', 'Light', 'Hardwood Floors']",0.42,Hell's Kitchen,2950,0,93707.0,19.8,10036.0
605 West 42nd Street,1.0, Studio,Manhattan,"['Storage Facility', 'Laundry in Unit', 'Cats Allowed', 'Fitness Center', 'Laundry In Unit', 'Dogs Allowed', 'Doorman', 'No Fee', 'Elevator', 'Common Outdoor Space']",0.42,Hell's Kitchen,3335,0,93707.0,19.8,10036.0
Central Park / Upper West Side...,2.0,2,Manhattan,"['Storage Facility', 'Cats Allowed', 'Featured', 'Private Outdoor Space', 'Parking Space', 'Dogs Allowed', 'Fitness Center', 'Doorman', 'No Fee', 'Floorplans Available', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.46,Hell's Kitchen,5769,0,93707.0,19.8,10036.0
Hell's Kitchen,2.0,3,Manhattan,"['New Construction', 'Original Details', 'Cats Allowed', 'Dishwasher', 'Common Outdoor Space', 'Laundry In Building', 'Granite Kitchen', 'Stainless Steel Appliances', 'High Ceilings', 'One Month Free', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Elevator', 'Microwave', 'Subway', 'Fitness Center', 'No Fee', 'Floorplans Available', 'Deck', 'Valet', 'Renovated', 'Light', 'Hardwood Floors']",0.25,Hell's Kitchen,5100,0,93707.0,19.8,10036.0
Central Park / Upper West Side...,2.0,2,Manhattan,"['Storage Facility', 'Cats Allowed', 'Featured', 'Private Outdoor Space', 'Parking Space', 'Dogs Allowed', 'Fitness Center', 'Doorman', 'No Fee', 'Floorplans Available', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.46,Hell's Kitchen,5769,0,93707.0,19.8,10036.0
