amenity,count,replace_value
Full Or Queen Size Bedroom,2,
Three Walk In Closets,2,
Den Space,2,
Three Bathrooms,2,
Full Hudson River View,2,
11' Ceilings,2,
ELEVATOR,2,Elevator
CINEMA,2,
AMAZING VIEW,2,
DOORMAN,2,
GYM,2,
2 MONTHS FREE,2,
Rehearsal room,2,
"Laundry In Building
 
Laundry In Unit",2,Laundry In Unit
 One Month Free,2,
Heart of Astoria,2,
Security Cameras,2,
Parking Garage on site,2,
"High Speed Internet
 
Dishwasher",2,
24 Hour Doorman & Concierge,2,
Landscaped Outdoor Plaza,2,
Dry Cleaning & Housekeeping Services,2,
W Lounge,2,
Laundry Room on Every Floor,2,Laundry In Building
Fully-Equipped 'Club 90 Gym',2,
Billiards Table,2,
Feel free to contact me any time,2,
917-684-5004,2,
Entertaining Kitchen and Dining Room,2,
Roof Deck Pool with Panoramic Views and Grill,2,
Laundry in Apartment,2,Laundry In Unit
On-site Garage w/Attendant,2,
Concierge and Valet Services,2,
Pool table and Complimentary WiFi,2,
Roof Deck with Cabanas and BBQ Grills,2,
Starbucks and Duane Reade on site,2,
Tenant's Lounge with Media Room,2,
Outdoor rooftop pool,2,
Roof sundeck,2,
1 Month Free,2,
"Storage Facility
 
Cats Allowed",2,
 Wheelchair Access,2,
POOL,2,
Great large studio,2,
"
Cats Allowed",2,
"Common Outdoor Space
 
Cats Allowed",2,
closets,2,
cable tv,2,
marble lobby,2,
huge windows,2,
 Convertible,2,
LOACTION,2,
Lounge with WiFi,2,
Games,2,
Bowling,2,
Massage,2,
Golf,2,
GARDEN,2,
PRIME LOCATION,2,
DUPLEX,2,
PATIO,2,
 Skyline View,2,
Recessed Lighting,2,
Separate kitchen,2,
Superintendent,2,
Brick Fireplace,2,
 Private Outdoor Space,2,
No Application Fee,2,
Fountain,2,
"Elevator
 
Laundry in Unit",2,"Elevator, Laundry In Unit"
Longe,2,
Indoor Pool,2,
S-Steel Appliances,2,
E and M Trains,2,
Near 6,2,
Hardwood Floors ,2,
located minutes from the United Nations,2,
East River,2,
Soul Cycle,2,
5,2,
Newly renovated,2,
6,2,
4,2,
M and E subway lines and businesses in Midtown.,2,
Equinox,2,
 Subway,2,
Laundry in Building/utilities included,2,"Laundry In Building, Utilities Included"
two full bathroom,2,
Marb Bath,2,
ONE MONTH FREE ON 13 MONTH LEASE,2,
Air Conditioner,2,
souther exposure,2,
flex,2,
walls allowed,2,
valet,2,
children‰Ûªs playroom,2,
party room,2,
racquetball court,2,
 Valet,2,
king size bedroom,2,
Secured Entry,2,
Security System,2,
Wood Flooring,2,
Queen Size Bedrooms,2,
Good Sun Light,2,
Huge Alcove Studio,2,
Business And Internet Lounge,2,
 Deck,2,
Elevator ,2,Elevator
Modern,2,
En Suite Bathroom with Stall Shower,2,
Full-Service Building,2,
Condo Finishes,2,
TV,2,
6 Jet Spa-Shower,2,
Sunlight,2,
Direct Feed,2,
concierge Laundry in Building,2,"Concierge, Laundry In Building"
concierge,2,Concierge
2 Marb Bths,2,
new flooring,2,
updated bathroom,2,
1br ‰ÛÒ Gran Kitch,2,
furnished as an option,2,
Central A/C High Ceilings Hardwood Floors Laundry in building Roof access Private roof deck Shared backyard Outdoor Space Stainless Steel Appliances Dishwasher Stone countertops Duplex,2,"A/C, High Ceilings, Hardwood Floors, Laundry In Building, Roof Access, Private Roof Deck, Shared Backyard, Outdoor Space, Stainless Steel Appliances, Dishwasher, Stone Countertops"
Roof,2,
Private Roof Deck,2,
Private parking,2,
Public Wifi,2,
Shared workspace,2,
Screening room,2,
Central A/C Doorman High Ceilings Hardwood Floors Video Intercom Laundry in building Natural Light in Living Area Bike storage Lounge Outdoor Space Roof access Eat In Kitchen Stainless Steel Appliances Built in microwave Dishwasher Granite countertops,2,"A/C, Doorman, High Ceilings, Hardwood Floors, Video Intercom, Laundry In Building, Bike Storage, Lounge, Outdoor Space, Roof Access, Stainless Steel Appliances, Built In Microwave, Dishwasher, Granite Countertops"
 Outdoor Space,2,
Crown Molding,2,
Game room,2,
Pets On Approval,2,
spa services,2,
Exposed Brick Walls,2,
Separate Kitchen and Living Space,2,
Equal Sized Bedrooms,2,
custom wide-planked oak flooring,2,
recessed LED lighting,2,
Separate kitchen with high-range stainless steel appliances including dishwasher and microwave and modern lacquer cabinets with sexy backsplash,2,
 Walk In Closet,2,
SHARES OK,2,
TERRACE,2,
NO BROKER FEE,2,
steps from colombia university,2,
onsite super,2,
4 floor walkup,2,
we accept guarantors,2,
need good credit and income on book of 40 times the rent,2,
Granite Kitchen Counters,2,
Custom Black Out Shades,2,
Custom Closets,2,
