address,bath,bedrooms,borough,extra,nearest_subway,neighborhood,rent,sqft,unit,url
312 W 58th Street,2,4,Manhattan,"['No Fee', 'Exclusive', 'Laundry in Unit', 'No Fee', 'Featured', 'Exclusive', 'Laundry In Unit', 'Private Outdoor Space', 'Laundry In Building', 'Cats Allowed', 'Dogs Allowed']",0.08,Hell's Kitchen,7150,1,Apt 5,https://www.renthop.com/listings/312-w-58th-street/5/14553426
539 West 162nd St,1,4,Manhattan,"['Exclusive', 'Pre-War', 'Featured', 'Pre-War', 'Exclusive', 'Dogs Allowed', 'Cats Allowed']",0.1,Washington Heights,3295,0,NaN,https://www.renthop.com/listings/539-west-162nd-st/na/14538476
West 179th Street,1,3,Manhattan,"['No Fee', 'Elevator', 'No Fee', 'Featured', 'Elevator', 'Cats Allowed', 'Dogs Allowed']",0.1,Washington Heights,3350,0,NaN,https://www.renthop.com/listings/west-179th-street/3e/13016890
321 W 47th St,2,2,Manhattan,"['No Fee', 'Exclusive', '', 'No Fee', 'Featured', 'Exclusive', 'Dishwasher', 'Exposed Brick', 'Cats Allowed', 'Dogs Allowed']",0.17,Hell's Kitchen,3500,0,Apt 1C,https://www.renthop.com/listings/321-w-47th-st/1c/14383965
75 West,1,Studio,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'No Fee', 'Featured', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', ' Storage Facility', 'Cats Allowed', 'Dogs Allowed']",0.12,Financial District,2650,0,NaN,https://www.renthop.com/listings/75-west/na/14511594
524 West 50th Street,1,Studio,Manhattan,"['Exclusive', 'Featured', 'Laundry in Building', 'Exclusive', 'Laundry In Building', 'Pre-war Laundry On Every Floor No Pets Allowed']",0.41,Hell's Kitchen,1999,500,Apt 2A F...,https://www.renthop.com/listings/524-west-50th-street/2a-front/14238067
19 st / 1st av,2,2,Manhattan,"['No Fee', 'Elevator', 'No Fee', 'Featured', 'Parking Space', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed']",0.26,Gramercy Park,4980,0,NaN,https://www.renthop.com/listings/19-st-1st-av/12f/14479293
West 87th Street,2.5,3Flex 4 ,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors']",NaN,Upper West Side,10500,0,NaN,https://www.renthop.com/listings/west-87th-street/23f/14532376
Norfolk Street,1,3,Manhattan,"['Laundry in Unit', 'Hardwood Floors', 'Floorplans Available', 'Featured', 'Laundry In Unit', 'Dishwasher', 'Hardwood Floors', 'Granite Kitchen', 'High Ceilings', 'Light', 'Marble Bath', 'Renovated']",0.03,Lower East Side,4400,0,NaN,https://www.renthop.com/listings/norfolk-street/12/13276723
488 Harman St,1,2,Brooklyn,"['Exclusive', '', 'Featured', 'Exclusive', 'Dogs Allowed', 'Cats Allowed']",0.24,Bushwick,2000,0,NaN,https://www.renthop.com/listings/488-harman-st/na/14491659
600 West End Avenue,1,Studio,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'No Fee', 'Featured', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed']",0.1,Upper West Side,2800,0,Apt 11F,https://www.renthop.com/listings/600-west-end-avenue/11f/14293454
200 Water Street,2,2,Manhattan,"['No Fee', 'Exclusive', 'Doorman', 'Elevator', 'Hardwood Floors', 'No Fee', 'Deck', 'Doorman', 'Elevator', 'Laundry In Building', 'Dishwasher', 'Hardwood Floors', 'Concierge', 'Eat In Kitchen', 'Granite Kitchen', 'High Ceilings', 'Light', 'Lounge', 'Marble Bath', 'Renovated', 'Valet', 'Dogs Allowed', 'Cats Allowed', 'Exclusive']",0.18,Financial District,5420,0,Apt 225,https://www.renthop.com/listings/200-water-street/225/14554160
312 W 58th Street,2,4,Manhattan,"['No Fee', 'Exclusive', 'Laundry in Unit', 'No Fee', 'Featured', 'Exclusive', 'Laundry In Unit', 'Private Outdoor Space', 'Laundry In Building', 'Cats Allowed', 'Dogs Allowed']",0.08,Hell's Kitchen,7150,1,Apt 5,https://www.renthop.com/listings/312-w-58th-street/5/14553426
539 West 162nd St,1,4,Manhattan,"['Exclusive', 'Pre-War', 'Featured', 'Pre-War', 'Exclusive', 'Dogs Allowed', 'Cats Allowed']",0.1,Washington Heights,3295,0,NaN,https://www.renthop.com/listings/539-west-162nd-st/na/14538476
 Wall Street,1,Studio,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'No Fee', 'Featured', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed', 'Concierge', 'Roof Deck', 'Basketball Court', 'Yoga Room', 'Bike Storage', 'Lounge with Billiards', 'ATM in the building', 'Parking Garage on site', 'Housekeeping and Dry Cleaning Services']",0.05,Financial District,3595,0,NaN,https://www.renthop.com/listings/wall-street/908/14464048
41 Putnam Ave,1,2,Brooklyn,"['Laundry in Unit', 'Featured', 'Laundry In Unit']",0.23,Clinton Hill,3400,0,Brooklyn,https://www.renthop.com/listings/41-putnam-ave-brooklyn-ny-11238/2/14498060
246 West 21st Street,1, Studio,Manhattan,"['No Fee', 'Exclusive', 'Loft', 'Hardwood Floors']",NaN,Chelsea,2475,0,Apt 1,https://www.renthop.com/listings/246-west-21st-street/1/14156337
Avenue A,2,4,Manhattan,"['Laundry in Unit', 'Pre-War', 'Hardwood Floors', 'Featured', 'Laundry In Unit', 'Private Outdoor Space', 'Cats Allowed', 'Dogs Allowed', 'Pre-war', 'Dishwasher', 'Hardwood Floors', 'Brownstone', 'Granite Kitchen', 'Marble Bath', 'Subway', 'Walk In Closet']",0.33,East Village,7565,0,NaN,https://www.renthop.com/listings/avenue-a/5/14420236
85 John Street,1,Studio,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'No Fee', 'Floorplans Available', 'Featured', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed']",0.06,Financial District,3150,0,Apt 4H,https://www.renthop.com/listings/85-john-street/4h/13598363
John Street,1,Studio,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Pre-War', 'No Fee', 'Featured', 'Deck', 'Doorman', 'Elevator', 'Fitness Center', 'Pre-war', 'Laundry In Building', 'High Speed Internet', 'Dishwasher', 'Wheelchair Access', 'Bicycle Room', 'Business Center', 'Common Outdoor Space', 'Granite Kitchen', 'High Ceilings', 'Light', 'Lounge', 'Marble Bath', 'Receiving Room', 'Storage', 'Subway', 'Valet', 'Dogs Allowed', 'Cats Allowed']",0.14,Financial District,2695,0,NaN,https://www.renthop.com/listings/john-street/74436/9650133
